PolicyID,PolicyType,CustomerID,AgentID,RegistrationDate,Premium,CommencementDate,SuspensionDate
ec9713ba-979f-4ef3-bae7-8e7228c87c61,Fire+Funeral,006f3c4d-ed89-40f8-beda-cc866de77c80,36c42c66-e07e-42cd-a201-29fc35a4bafe,2023-10-23,160,03/11/2023,2024-03-03 00:00:00
a87cdab2-6228-4f72-ba36-9447f1ddb0a2,Fire,0070a6c2-32db-4ba9-b29c-bfab5bacfdbb,bd31484d-3af7-4360-978b-520c97141ea0,2022-09-01,80,18/09/2022,2023-01-18 00:00:00
3182ab0d-e551-4839-a1af-56de8226ca6e,Fire,0070a6c2-32db-4ba9-b29c-bfab5bacfdbb,960b7799-0478-4b1b-b1b4-5c1e9390a93e,2022-07-23,80,29/07/2022,2022-10-29 00:00:00
01d430f0-c0a4-45f5-9943-d9e192f731f5,FIRE & FUNERAL,0070a6c2-32db-4ba9-b29c-bfab5bacfdbb,625d64db-63dd-4f32-a9dc-60ae3c5611a2,2023-08-14,160,14/08/2023,2024-03-14 00:00:00
bf5a657d-2ac0-40c7-ab6f-9533cb56bcce,Fire,0070a6c2-32db-4ba9-b29c-bfab5bacfdbb,47ea8da6-7785-4a5b-a76e-d367c93c5cc6,2023-03-16,80,23/03/2023,2023-11-23 00:00:00
22cafda8-213f-4a62-9d26-9de6ad934dd4,Fire,01a74f9a-e892-49ca-b7cc-25c161de26ef,47ea8da6-7785-4a5b-a76e-d367c93c5cc6,2022-03-02,80,,
1d332b38-310e-43bd-ae1a-057f638a3121,Fire,01a74f9a-e892-49ca-b7cc-25c161de26ef,47ea8da6-7785-4a5b-a76e-d367c93c5cc6,2022-05-20,80,18/06/2022,2023-03-18 00:00:00
1ad78e5b-d5df-461d-8a49-5e681cf893e5,Fire+Funeral,01a74f9a-e892-49ca-b7cc-25c161de26ef,625d64db-63dd-4f32-a9dc-60ae3c5611a2,2023-05-17,160,29/05/2023,2023-09-29 00:00:00
1e052ee3-a2ae-42af-9315-e50cb7de422d,Fire,02191aaf-43c5-4118-91ed-f2d99838413a,bd31484d-3af7-4360-978b-520c97141ea0,2022-07-06,80,27/07/2022,2023-04-27 00:00:00
d3040554-1bc5-4df7-a101-e22baa5dc324,Fire,02191aaf-43c5-4118-91ed-f2d99838413a,36c42c66-e07e-42cd-a201-29fc35a4bafe,2022-10-16,80,01/11/2022,2024-02-01 00:00:00
111cd64b-3134-42ea-a289-d52bc1f2b8e4,FIRE & FUNERAL,02191aaf-43c5-4118-91ed-f2d99838413a,bd31484d-3af7-4360-978b-520c97141ea0,2023-01-19,160,14/02/2023,2023-11-14 00:00:00
406049d3-bc07-4a49-b81c-7fafa1db0b31,Fire,02191aaf-43c5-4118-91ed-f2d99838413a,da1ee87d-6b76-4798-b2a0-fac3c186a202,2023-05-10,80,16/05/2023,2024-02-16 00:00:00
c44118ca-1faa-491b-bcd5-5b9051b2ea50,Fire,02e4deed-64d1-4fb7-9c26-c0462ca94cdc,08a0fb96-d068-4d75-b93e-312704948524,1972-04-10,80,31/05/1977,
7d6831cc-f8a7-45e4-a30e-63eddc5d155d,Fire+Funeral,03073327-af46-4b29-b7d9-b4747f4f1c56,64c82c54-364d-44a1-8658-9035f138bbb6,2022-10-27,160,27/10/2022,2023-04-27 00:00:00
ec5519b9-93f4-423f-ad9c-e222df2d912f,Fire,03073327-af46-4b29-b7d9-b4747f4f1c56,64c82c54-364d-44a1-8658-9035f138bbb6,2023-07-25,80,22/08/2023,2024-03-22 00:00:00
e6ba1844-63d3-432e-ba26-60261d7e0b70,Fire,03073327-af46-4b29-b7d9-b4747f4f1c56,36c42c66-e07e-42cd-a201-29fc35a4bafe,2022-08-25,80,,
ddeddcfa-bd15-4453-8772-6444487ceb12,Fire,03073327-af46-4b29-b7d9-b4747f4f1c56,47ea8da6-7785-4a5b-a76e-d367c93c5cc6,2022-05-07,80,17/05/2022,2024-02-17 00:00:00
746ce98f-a624-4ce1-a6c0-8a9c3571fcd0,Fire,0351c90f-0326-43e2-8f71-68cccb561edd,64c82c54-364d-44a1-8658-9035f138bbb6,2022-10-02,80,,
fdbf70a4-1f9b-4c52-9cbc-dcacbbf0eb74,Fire,0351c90f-0326-43e2-8f71-68cccb561edd,625d64db-63dd-4f32-a9dc-60ae3c5611a2,2023-10-08,80,02/11/2023,2024-02-02 00:00:00
d361219e-4bf4-4552-a820-a54b632a2d56,Fire+Funeral,0351c90f-0326-43e2-8f71-68cccb561edd,960b7799-0478-4b1b-b1b4-5c1e9390a93e,2022-02-21,160,21/02/2022,2022-09-21 00:00:00
9ab77594-c24c-4155-a665-dacc69684f8f,Fire,0351c90f-0326-43e2-8f71-68cccb561edd,06c8893b-642e-4b23-8ed2-0ddd33c39f06,2023-12-14,80,14/12/2023,2024-03-14 00:00:00
8a606e22-b318-4944-bfad-7c9c06dc50a0,Fire,0433d310-675c-4936-b614-5cb4a10b7559,64c82c54-364d-44a1-8658-9035f138bbb6,2023-07-09,80,16/08/2023,2024-01-16 00:00:00
0361d72e-26f2-4e8b-a169-70094f6d58b3,FIRE & FUNERAL,0433d310-675c-4936-b614-5cb4a10b7559,da1ee87d-6b76-4798-b2a0-fac3c186a202,2022-10-28,160,28/10/2022,2024-01-28 00:00:00
708790fd-2ca3-4ac1-9c63-7aa136fb41cd,Fire,0440f688-223d-48ca-aec7-42c5888824b5,da1ee87d-6b76-4798-b2a0-fac3c186a202,2023-04-30,80,29/05/2023,2024-03-29 00:00:00
65b06173-fbca-4775-9ea3-bbcaa9a81cd1,Fire+Funeral,0440f688-223d-48ca-aec7-42c5888824b5,2d654aa6-c8bc-4d8b-a80c-0876f6df0ee5,2022-11-16,160,09/12/2022,2024-01-09 00:00:00
d48f7897-0757-4baf-b24c-3eae06aa319b,Fire,0440f688-223d-48ca-aec7-42c5888824b5,36c42c66-e07e-42cd-a201-29fc35a4bafe,2022-01-20,80,28/01/2022,2022-12-28 00:00:00
02487a3b-7be6-4b27-9d2e-7559d4553cc9,Fire,04ac0d34-3100-4917-a2f1-6e5ed4af3b84,960b7799-0478-4b1b-b1b4-5c1e9390a93e,2022-02-17,80,24/02/2022,2023-09-24 00:00:00
79f7bb63-a10f-4565-a1ed-2a22d14ec3b6,Fire,04ac0d34-3100-4917-a2f1-6e5ed4af3b84,64c82c54-364d-44a1-8658-9035f138bbb6,2022-09-07,80,,
ca7f2be5-b446-468e-8e37-441552a46c4d,Fire,04ac0d34-3100-4917-a2f1-6e5ed4af3b84,47ea8da6-7785-4a5b-a76e-d367c93c5cc6,2023-01-01,80,01/01/2023,2024-01-01 00:00:00
e01437dc-1b11-4efe-9e30-deab0c794813,Fire+Funeral,04ac0d34-3100-4917-a2f1-6e5ed4af3b84,960b7799-0478-4b1b-b1b4-5c1e9390a93e,2022-05-04,160,,
2c69da59-8f78-4cb0-bb04-a262a993b230,Fire,04dd6554-fccf-4ab4-8857-005539365b46,960b7799-0478-4b1b-b1b4-5c1e9390a93e,2022-09-11,80,11/09/2022,2024-02-11 00:00:00
532def1f-a5fa-44d2-8909-6561fafdd2ee,Fire+Funeral,04dd6554-fccf-4ab4-8857-005539365b46,da1ee87d-6b76-4798-b2a0-fac3c186a202,2022-08-12,160,16/08/2022,2023-12-16 00:00:00
4feb112d-3e17-4082-becd-93129d2f3f09,Fire,05370caa-50ba-4dc5-abb0-45eb72158524,bd31484d-3af7-4360-978b-520c97141ea0,2024-01-01,80,25/01/2024,2024-04-25 00:00:00
e6fcee50-5555-44ff-ac15-e79d2881fa12,Fire+Funeral,05370caa-50ba-4dc5-abb0-45eb72158524,64c82c54-364d-44a1-8658-9035f138bbb6,2023-07-11,160,11/07/2023,2024-02-11 00:00:00
7a1fe630-3d48-4b42-925d-0293fbaee63c,FIRE & FUNERAL,057af7c7-eb9a-450d-aa16-c4c3d1d6826d,960b7799-0478-4b1b-b1b4-5c1e9390a93e,2023-03-08,160,06/04/2023,2024-01-06 00:00:00
08fa882f-3c57-47e8-9c7f-94ea36213913,Fire+Funeral,0660dca5-f2a4-423f-aef5-fae7d0995543,960b7799-0478-4b1b-b1b4-5c1e9390a93e,2022-11-02,160,27/11/2022,2023-05-27 00:00:00
86263dcf-156d-44e7-8e60-5153e3b8a381,Fire,0660dca5-f2a4-423f-aef5-fae7d0995543,43555da1-2d0a-44ad-8a26-89d1233c7653,2023-05-02,80,,
bd2fac5c-b903-4e65-96cf-f3dea99c0f14,Fire,0660dca5-f2a4-423f-aef5-fae7d0995543,625d64db-63dd-4f32-a9dc-60ae3c5611a2,2022-02-02,80,02/02/2022,2024-04-02 00:00:00
3bb3f68d-e61a-464b-a751-bee242078d41,Fire+Funeral,0666ffa2-ba60-4230-9d2e-6a94f77062f4,43555da1-2d0a-44ad-8a26-89d1233c7653,2022-09-18,160,,
8e11ca49-d458-4dd5-8467-d5d4b2a6547d,Fire,0666ffa2-ba60-4230-9d2e-6a94f77062f4,43555da1-2d0a-44ad-8a26-89d1233c7653,2022-05-10,80,10/05/2022,2024-02-10 00:00:00
8f5606d5-e8f9-41d7-b43f-ed270c8b82d6,Fire,0666ffa2-ba60-4230-9d2e-6a94f77062f4,da1ee87d-6b76-4798-b2a0-fac3c186a202,2022-08-25,80,,
b2774042-2f64-430b-a19f-e65ea577d30a,Fire,0666ffa2-ba60-4230-9d2e-6a94f77062f4,2d654aa6-c8bc-4d8b-a80c-0876f6df0ee5,2022-11-18,80,,
b8fa3f2b-12e4-4f52-8ff7-c0ed5094af50,Fire,06f5dbcd-21fb-4f23-b78c-84e6e36abd88,ef029212-16f7-42f5-9cac-f66cf03a9913,1974-10-23,80,07/08/1976,
734baf8c-6197-4ee6-b904-ccf449bb7f01,Fire,07cb02c4-2173-42f3-90a1-f8189c3ef145,2d654aa6-c8bc-4d8b-a80c-0876f6df0ee5,2023-10-17,80,09/11/2023,2024-05-09 00:00:00
81818dc3-2997-4493-ab57-e8a356b302bf,FIRE & FUNERAL,07cb02c4-2173-42f3-90a1-f8189c3ef145,da1ee87d-6b76-4798-b2a0-fac3c186a202,2023-12-06,160,,
536cf10a-dd79-4ac5-9dd7-2790d571e50f,Fire+Funeral,09a36dbc-9390-4079-a8e0-2f17c39e88c0,bd31484d-3af7-4360-978b-520c97141ea0,2023-07-18,160,15/08/2023,2023-11-15 00:00:00
7d2a85f9-7016-48b3-8ee5-aed475ffb8f2,Fire,0a571aef-1fb5-4426-995d-9c996b34b7af,36c42c66-e07e-42cd-a201-29fc35a4bafe,2023-10-18,80,06/11/2023,2024-02-06 00:00:00
bc94e7ba-0d41-492f-b9e6-7010f9d92d43,Fire+Funeral,0a571aef-1fb5-4426-995d-9c996b34b7af,625d64db-63dd-4f32-a9dc-60ae3c5611a2,2022-09-28,160,28/09/2022,2023-08-28 00:00:00
db9e182a-0ae4-4176-b48b-71d4af994170,Fire,0a571aef-1fb5-4426-995d-9c996b34b7af,2d654aa6-c8bc-4d8b-a80c-0876f6df0ee5,2023-10-24,80,,
a2e67a1f-beaa-4147-977c-4eb3f3e3b9df,Fire,0b211fd3-c408-43f7-950c-8b6fda723922,06c8893b-642e-4b23-8ed2-0ddd33c39f06,2023-05-12,80,,
416ce362-09d1-41d2-aa44-e0a1df39d2fa,Fire,0b211fd3-c408-43f7-950c-8b6fda723922,36c42c66-e07e-42cd-a201-29fc35a4bafe,2022-02-10,80,23/02/2022,2023-11-23 00:00:00
504db553-0884-4fa3-b0a8-2d3ccd234a26,FIRE & FUNERAL,0b46d98d-c953-4290-a215-5740596dca22,43555da1-2d0a-44ad-8a26-89d1233c7653,2023-05-23,160,08/06/2023,2024-01-08 00:00:00
e0851ccd-97b8-4e51-8d37-79a6592b7281,Fire,0b46d98d-c953-4290-a215-5740596dca22,da1ee87d-6b76-4798-b2a0-fac3c186a202,2022-01-14,80,07/02/2022,2023-05-07 00:00:00
10b742c7-ede7-4b7c-ac3c-c27052f6c420,Fire,0b46d98d-c953-4290-a215-5740596dca22,47ea8da6-7785-4a5b-a76e-d367c93c5cc6,2022-01-30,80,23/02/2022,2023-01-23 00:00:00
